query,sop,score
发票金额和订单不一致怎么办,处理规则：退款完成后可能需要红冲已开具发票，完成后更新工单状态。,0.8
咨询一下领了优惠券结算时不生效怎么处理,SOP：当满减券不生效时，检查结算商品是否参与活动以及是否已达到最低使用门槛，必要时联系人工客服协助。,0.8
手机号换了收不到验证码怎么办,SOP：当系统提示密码错误时，引导用户确认账号信息后使用找回密码流程重置密码，完成后更新工单状态。,0.8
请教一下支付时优惠券失效了怎么办,标准流程：当满减券不生效时，检查结算商品是否参与活动以及是否已达到最低使用门槛，必要时联系人工客服协助。,0.8
我想知道手机号换了收不到验证码怎么办,标准流程：当登录需要二次验证时，校验绑定手机或邮箱验证码，验证通过后允许登录，必要时联系人工客服协助。,0.8
请问怎么申请发票怎么处理,处理规则：若开票金额与订单不一致，需先核对优惠、退款和实付金额后再处理，完成后更新工单状态。,0.8
请教一下登录时一直提示密码不对怎么办,当用户登录失败时，检查网络状态、客户端版本和缓存，再重新尝试登录,0.8
登录提示需要身份验证怎么处理,SOP：当账号存在安全风险时，需先完成安全验证，验证通过后才能继续登录,0.8
支付时优惠券失效了怎么办,建议处理：当支付时优惠券失效，可能因活动结束或库存变更导致，需重新刷新结算页确认可用优惠，完成后更新工单状态。,0.8
帮我看看发票金额和订单不一致怎么办,退款完成后可能需要红冲已开具发票,0.8
订单已发货还能拦截吗应该怎么弄,标准流程：当订单已发货但需拦截时，联系商家发起物流拦截申请，拦截成功后再安排退款或重发,0.8
我想知道电子发票在哪里下载,处理规则：退款完成后可能需要红冲已开具发票，并在系统中记录处理结果。,0.8
咨询一下电子发票在哪里下载该怎么办,SOP：若开票金额与订单不一致，需先核对优惠、退款和实付金额后再处理。,0.8
咨询一下商品坏了怎么走售后应该怎么弄,当退款迟迟未到账时，先核对退款状态和原支付渠道到账周期，超时后联系客服处理,0.8
帮我看看怎么申请发票怎么处理,标准流程：订单完成后可在发票中心提交开票信息，审核通过后生成电子发票并发送到预留邮箱,0.8
请问优惠券被回收了怎么办,建议处理：当新人券无法使用时，确认账号是否为新用户以及是否符合新人活动规则。,0.8
麻烦问一下订单已发货还能拦截吗应该怎么弄,当发货超时未出库时，提醒商家尽快发货，超出承诺时效可申请补偿或取消订单,0.8
